ticker,cur_mkt_cap,sales_rev_turn,is_comp_sales,is_cogs_to_fe_and_pp_and_g,gross_profit,is_tot_oper_exp,is_oper_inc,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,ebitda,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,earn_for_common,is_comp_net_income_gaap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,cf_cash_from_oper,capital_expend,cf_free_cash_flow,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,estimate_comparable_fcf,bs_cash_near_cash_item,cb_cf_net_cash_investing_act,cb_cf_net_cash_investing_act,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
AXP UN Equity,112421.1568,52679,50831,,,,10020,,,1627,13495,,,11080,0,10020,2359,7540,7563,31182,0,43908,17655,-1813,15842,,214915,,190975,23940,-34237,19848,15842,31182,-34237,-34237,0,0,67848
AZO UN Equity,47222.18253,16252.23,16252.23,7779.58,8472.65,,3270.729,3270.729,191.638,442.223,4113.952,3712.952,197.686,6.048,0,3079.091,649.487,2429.604,2429.604,485.094,0,9513.777,3211.135,-672.391,2538.744,6627.984,15275.043,8588.393,18813.956,-3538.913,-648.099,-3469.991,2538.744,264.38,-648.099,-648.099,0,0,5974.864
BA UN Equity,100715.2029,61421,61421,62289,-868,,-7365,-7365,1708,2011,-5354,-5637,2562,0,-854,-9073,-519,-8444,-8444,14257,64,57219,771,-1118,-347,109251,137558,89618,155193,-17635,8456,-5490,-347,13494,8456,8456,0,64,39584
BAC UN Equity,298193.7916,103331,92784,,,,30890,,,1971,,,,39659,0,30890,3481,25884,25884,487672,29134,590561,7326,0,7326,,3072953,,2803429,269524,-75816,-6388,7326,27802,-75816,-75816,29134,0,860085
BALL UN Equity,15901.69452,15475,15475,12717,2758,14069,1406,1575,299,695,2101,2195,285,0,-6,1042,149,961,807,473,70,9295,660,-1784,-1124,5812,20053,6189,16504,3549,-987,-635,-1124,473,-987,-987,0,70,12844
BAX UN Equity,26602.45268,14740,14740,9400,5340,,-1913,2634,381,1314,-599,,368,16,33,2342,70,-2376,-2373,1601,44,16886,1465,-714,751,7810,27965,3708,22386,5579,-10942,7820,751,1601,-10942,-10942,0,44,22465
BBWI UN Equity,7566.041333,7776.403,7775.721,4161.975,3614.428,,1810.208,1818.956,442.434,211,2021.208,,352.887,,89.547,1367.623,323.214,957.866,1044.531,452,1,6066,1000,-253,747,1754,4901,1258,7563,-2662,-253,-2883,747,452,-253,-253,0,1,3404
BBY UN Equity,15468.73754,49251,49251,38496,10755,,2306,2442,24,892,3198,3086,26,0,-2,2318,506,1772,1772,840,0,4049,1679,-855,824,8344,15419,8650,12527,2892,-1498,-3503,0,840,-1498,-1498,0,0,6941
BDX UN Equity,62754.33053,19782,19782,10700,9082,17283,2499,3928,564,2240,4739,5447,409,11,166,3477,149,1664,1740,2572,2,16365,2612,-1123,1489,9547,53199,7080,27706,25493,-1920,-1212,1489,2558,-1920,-1920,2,0,41858
BEN UN Equity,11691.45737,8275.3,8275.3,,,6501.4,1773.9,2323.5,,,,,98.2,0,44.5,2179,396.2,1291.9,1291.9,,,,,,,,,,,,,,,,,,,,
