ticker,cur_mkt_cap,sales_rev_turn,is_comp_sales,is_cogs_to_fe_and_pp_and_g,gross_profit,is_tot_oper_exp,is_oper_inc,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,ebitda,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,earn_for_common,is_comp_net_income_gaap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,cf_cash_from_oper,capital_expend,cf_free_cash_flow,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,estimate_comparable_fcf,bs_cash_near_cash_item,cb_cf_net_cash_investing_act,cb_cf_net_cash_investing_act,bs_pfd_eqy,minority_noncontrolling_interest,bs_tot_cap
LH UN Equity,20860.86973,15258.7,15258.7,10468.4,4790.3,,2413.8,2941.4,189.7,665.7,3079.5,3382.6,174.1,0,36.8,2481.4,466.3,1756,1756,409.9,18.9,6271.1,1999.8,-514,1485.8,4371.8,19826,2522.3,9714.9,10111.1,-1633.4,-1993,1486.2,409.9,-1633.4,-1633.4,0,18.9,16382.2
LHX UN Equity,44727.52127,16834,16834,11904,4930,,1162,2843,-166,941,2103,3742,272,0,-438,2758,200,1130,1128,529,102,7777,2198,-316,1882,6431,33381,5853,14942,18439,-194,-2601,1882,529,-194,-194,0,102,26216
LIN UN Equity,156352.4756,33763,33806,19950,13813,,5019,6618,-165,4383,9402,10745,63,0,-228,7483,1385,3845,3843,3756,1311,15338,10002,-3076,6926,11203,74323,15061,35384,38939,-3083,-7863,6926,3756,-3083,-3083,0,1311,54277
LKQ UW Equity,14037.37396,12978.993,12978.993,7709.373,5269.62,,1568.096,1591.522,51.312,268.313,1836.409,1703.822,,,-10.096,1516.784,344.563,1191.281,1191.281,269,39,3687,1015.019,-308.761,706.258,4202,11666,2351,6365,5301,26.084,-1174.672,706.258,269,26.084,26.084,0,39,8988
LLY UN Equity,348582.2505,29239.5,29239.5,7131.9,22107.6,,7208.1,8802.2,658.2,1593.2,8801.3,,329,44.7,-293.7,8563.1,516.7,6033.2,6033.2,2742.1,95.8,15888.4,7661.2,-1645,6016.2,17639.9,47461.5,15652.8,37295.6,10165.9,-2780.1,-6051.9,6016.2,2617.4,-2780.1,-2780.1,0,95.8,26054.3
LMT UN Equity,129399.0192,64722,64722,56315,8407,,8510,8510,1530,1330,9840,9537,567,0,963,7039,1111,5869,5869,2430,0,11480,10142,-1584,8558,20960,52030,16347,40064,11966,-1523,-8916,8558,2430,-1523,-1523,0,0,23446
LNC UN Equity,5800.705899,19193,18758,,,21732,-2268,,,,,,271,,0,,-527,-2014,-2020,1472,0,6459,,,,,324683,,322466,2217,,,,1472,,,0,0,8676
LNT UW Equity,13316.65506,4073,4073,1710,2363,3172,,901,,,,1565,,,,691,18,666,673,,0,8720,,,,1069,18553,2054,13386,,,,,344,,,0,0,
LOW UN Equity,116579.985,95392,95392,63595,31797,,12169,12169,965,1982,14151,13925,981,16,0,11204,2777,8403,8427,1932,0,33605,9212,-1694,7518,22667,46725,20366,55167,-8442,-510,-12055,7518,1482,-510,-510,0,0,25163
LRCX UW Equity,59814.61248,17996.695,17997.091,9764.807,8231.888,2524.459,5707.429,5713.111,202.946,329.616,6037.045,6042.727,185.755,25.587,47.431,5524.02,653.062,4851.421,4851.421,4377.05,0,5003.473,3831.738,-549.67,3282.068,13612.664,18721.282,5053.382,11308.715,7412.567,-112.221,-3505.662,3282.068,4256.499,-112.221,-112.221,0,0,12416.04
LUMN UN Equity,6559.255382,18525,18525,8128,10397,13985,4540,4601,1670,3320,7860,8061,1424,0,246,1613,841,2029,2029,252,0,26030,5501,-3031,2470,9382,54817,8715,42240,12577,-169,-5771,4272,252,-169,-169,0,0,38607
LUV UN Equity,22230.07421,22693,22693,,,21096,1597,1657,506,1306,2903,2965,355,108,259,1257,264,827,847,13673,0,10112,3458,-2749,709,16418,35946,10416,25022,10924,-2996,-2999,709,10443,-2996,-2996,0,0,21036
LVS UN Equity,31200.9098,4001,4001,2556,1445,4765,-764,-733,637,1046,282,496,653,57,41,-1291,186,1878,-1176,5836,-119,15293,-738,-692,-1430,6207,21469,3391,17688,3781,-793,5941,-1430,5836,-793,-793,0,-119,19074
LW UN Equity,12199.76268,4240.3,4240.3,3286.3,954,,541.2,541.2,159.1,194.6,735.8,830.1,,,,382.1,136.8,403,403,485.3,0,2741.4,448.4,-312.4,136,1630.2,4409.7,780.3,3899.7,510,-398.6,-354.2,136,485.3,-398.6,-398.6,0,0,3251.4
LYB UN Equity,27489.21404,53075,53075,45425,7650,,5525,6323,272,1310,6835,7681,355,14,27,,983,4255,4218,1480,128,12830,7594,-2091,5503,12328,36491,7634,24172,12319,-2138,-5868,5503,1480,-2138,-2138,0,128,25149
LYV UN Equity,16720.32041,15093.687,15093.709,11054.884,4038.803,,727.462,773.694,245.096,421.008,1411.407,1421.956,278.016,49.237,6.189,447.081,68.013,190.346,226.626,4951.161,1072.097,7570.705,1684.228,-265.998,1418.23,7927.389,15787.014,7634.487,14789.477,997.537,-814.931,-546.303,1841.3021,4951.161,-814.931,-814.931,0,1072.097,8568.242
MA UN Equity,313801.2461,21636,21605,,,9729,11907,12312,441,755,12662,13038,452,14,-18,11631,1682,9784,9784,8045,82,14534,11284,-434,10850,16823,37612,13476,31169,6443,-1558,-8791,10850,7633,-1558,-1558,0,82,20977
MAA UN Equity,17739.57894,1955.476,1955.476,,,,583.751,589.644,-65.045,541.149,1124.9,1129.9,155.771,0,-219.391,647.371,2.04,625.768,627.612,38.996,247.5473,4548.303,1024.032,-580.587,443.445,,11338.227,,5166.327,6171.9,-398.544,-613.455,443.445,38.996,,,43.3923,204.155,10720.203
MAR UW Equity,47610.72435,19296,19296,15115,4181,16195,3101,2855,330,285,3386,3504,385,24,-13,2714,618,2153,2153,1045,0,10425,2354,-261,2093,3684,24763,7112,23700,1063,-243,-1840,2093,1045,-243,-243,0,0,11488
MAS UN Equity,10239.02253,8779,8779,5992,2787,,1330,1386,104,142,1472,1526,107,0,-15,1248,307,863,861,464,201,3604,855,-183,672,3264,5417,2224,5833,-416,-199,-1046,672,464,-199,-199,0,201,3188
MCD UN Equity,204338.9345,23265.2,23265.2,9962.3,13302.9,14079.8,9185.4,9185.4,1591.1,1889.1,11074.5,10042.5,1179.7,20.7,664,7594.3,1681.5,5912.8,5912.8,2828.3,0,47287.9,7851.8,-2057.5,5794.3,5740.8,48501.6,3486.1,55067.8,-6566.2,-2729.5,-6599.8,5794.3,2828.3,-2729.5,-2729.5,0,0,40721.7
MCHP UW Equity,37180.58796,7638.5,7638.5,2557,5081.5,2560.6,2520.9,3475.7,254.5,1105,3625.9,,211.2,0.4,43.7,3130.4,422.3,1844.1,1844.1,306.8,0,7335.6,3234.7,-437.5,2797.2,2676,16141.1,2538.4,10038,6103.1,-553.6,-2629.6,2797.2,304.8,-553.6,-553.6,0,0,13438.7
MCK UN Equity,55463.93816,272027,272027,259163,12864,9773,3091,4688,-83,646,3737,,184,0,-267,4167,948,2055,2061,2916,518,7212,4430,-359,4071,46448,63081,48357,64330,-1249,184,-4119,3952,2916,184,184,0,518,5963
MCO UN Equity,49048.13801,5717,5717,,,3626,2091,2275,142,319,2509,2518,239,11,-147,1949,394,1555,1555,1745,175,6744,1396,-266,1130,3726,13939,2066,11509,2430,-630,-1349,1130,1656,-630,-630,0,175,9174
MDLZ UW Equity,86853.33503,30459,30459,19389,11070,,3904,4795,305,1095,4999,5819,332,0,-27,4501,833,3137,3137,2177,29,22187,3937,-1140,2797,9910,68036,14321,41366,26670,-3542,-1608,2797,2177,-3542,-3542,0,29,48857
MDT UN Equity,106923.7359,31070,31070,10063,21007,,6017,8464,289,2704,8721,9750,580,130,-161,7720,504,5205,5205,8873,170,23210,7137,-1416,5721,22135,89914,14049,37071,52843,-2460,-5541,5721,2140,-2460,-2460,0,170,76053
MET UN Equity,57660.70833,73671,75761,,,71233,3352,,,,,,914,,0,5683,15,2216,3726,22200,4159,18590,16010,0,16010,,650104,,624774,25330,-5285,-7584,16010,22200,-5285,-5285,3905,254,43920
META UW Equity,254310.043,118115,118115,23261,94854,82984,35131,35131,-241,8324,45202,54844,,,198,35372,6540,28832,28832,41776,0,26481,54068,-27758,26310,58315,178894,22687,54800,124094,-15610,-38011,25713,14308,-15610,-15610,0,0,150575
MGM UN Equity,13187.25702,12592.161,12592.161,6365.169,6226.992,10654.111,1810.115,1450.987,725,2357.444,5815.092,3361.355,659.299,,27.683,1126.393,442.283,1320.104,1320.104,5295.434,1120.047,33826.105,1819.992,-625.128,1194.864,8783.182,47330.222,5895.504,41368.485,5961.737,1449.26,-3504.995,1194.864,5295.434,1449.26,1449.26,0,1120.047,39787.842
MHK UN Equity,5792.397581,11847.127,11847.127,8720.698,3126.429,,436.237,1227.296,49.024,579.861,1016.098,1785.165,49.506,,-10.142,1165.454,205.882,180.88,180.88,436.971,6.304,2975.251,639.819,-731.025,-91.206,5854.329,13801.034,3904.747,5975.977,7825.057,-1045.081,-395.794,279.351,326.971,-1045.081,-1045.081,0,6.304,10800.308
MKC UN Equity,21684.38913,6385.1,6385.1,4032.1,2353,,875.5,948.2,42.8,195.4,1070.9,1150.1,138,0,-95.2,837.8,172.6,693.7,693.7,343.9,17.4,5361.8,705.5,-254.9,450.6,2412.8,12941,3140.4,8334.3,4606.7,-133.5,-540.7,450.6,343.9,-133.5,-133.5,0,17.4,9968.5
MKTX UW Equity,9273.336796,705.458,705.401,,,383.674,321.784,321.784,-8.651,60.323,395.349,391.572,0.814,,-6.58,330.435,87.252,243.183,243.183,351.993,0,85.983,300.716,-45.15,255.566,1074.72,1559.747,457.721,541.007,1018.74,-81.777,-316.137,358.389,318.699,-79.55,-79.55,0,0,1104.723
MLM UN Equity,21460.40687,6180.6,6180.6,4764.8,1415.8,,1154.4,1218.2,128.4,512,1666.4,1602.3,169.2,,-40.8,1080.7,201,839.8,839.9,135.7,2.1,5442,918.1,-410.9,507.2,2847.3,14729.7,1419.7,7791.9,6937.8,-2740.1,-425.4,507.2,135.7,-2740.1,-2740.1,0,2.1,12379.8
MMC UN Equity,80204.73561,20835,20835,,,16249,4586,4647,156,695,5619,5251,451,6,-8,4341,1007,3387,3393,802,226,13284,3405,-505,2900,7574,32023,7292,22232,9791,-938,-1040,2900,802,-938,-938,0,226,23075
MMM UN Equity,69330.544,34762,34762,19345,15417,27239,7523,7460,164,1878,9401,9066,465,44,-257,6774,777,6575,6575,3589,76,16516,5674,-1799,3875,14895,46176,9543,32020,14156,-543,-6605,3875,3404,-543,-543,0,76,30672
MNST UW Equity,51141.3071,6223.165,6223.165,3065.332,3157.833,,1603.25,1603.25,5.801,55.479,1666.233,,,16.1,6.501,1597.449,386.185,1211.264,1211.264,2649.829,0,37.258,816.945,-151.895,665.05,4696.691,8204.805,1121.717,1389.045,6815.76,-668.065,-558.503,665.05,1303.048,-668.065,-668.065,0,0,6853.018
MO UN Equity,81938.13428,20691,20691,6640,14051,,11834,11834,4869,217,12051,11888,,,-153,10016,2267,4702,4698,2483,0,26291,8300,-214,8086,4020,33953,8097,38185,-4232,1039,-9837,8086,2483,1039,1039,0,0,22059
MOH UN Equity,19523.99614,31160,31160,27402,3758,29901,1259,1378,138,209,1468,1511,113,,25,1240,282,839,839,7881,0,2392,1041,-102,939,10492,12793,7242,9752,3041,-1485,-237,939,4242,-1485,-1485,0,0,5433
MOS UN Equity,17997.82767,18484.9,18484.9,12548.9,5936,,5054.4,5368.9,203.2,914.9,5969.3,6392,,,157.8,4477.2,1263.8,3724.4,3724.4,702.8,154.7,4160,3410.5,-1269.6,2140.9,6899.7,23437.6,5130.3,11702.3,11735.3,-1308.2,-2238.5,2140.9,702.8,-1308.2,-1308.2,0,154.7,15895.3
MPC UN Equity,55587.86169,172976,175467,154294,18682,156959,18508,19146,1244,3231,21739,21328,1287,88,666,15944,3750,11969,11996,11135,7471,27896,15653,-2175,13478,35285,89694,21314,55919,33775,2569,-16714,13478,7376,2569,2569,0,7471,61671
MPWR UW Equity,16670.15756,1670.64,1670.64,696.024,974.616,506.152,468.464,618.734,2.33,,,618.866,,,2.33,623.087,74.881,391.253,391.253,736.047,0,5.807,,,,1323.457,1931.221,290.988,400.512,1530.709,,,,316.21,,,0,0,1536.516
MRK UN Equity,257621.5865,58974,58974,17403,41571,,18082,22551,1242,3852,21934,,935,71,-898,21032,1507,15260,15260,11248,66,30418,19696,-4447,15249,33561,107081,22998,62557,44524,-15261,-3615,15249,11145,-15261,-15261,0,66,74942
MRNA UW Equity,63190.0019,21390,21390,4450,16940,8140,13250,13250,-80,346,13596,,25,120,15,13330,1565,11765,11765,8348,0,1261,6629,-428,6201,14297,26056,6807,8064,17992,-5266,-3883,6201,3027,-5266,-5266,0,0,19253
MRO UN Equity,20627.00315,7700,7864,2990,4710,4161,3399,3080.805,-373,1835,5234,4508.228,,,170,2126.787,36,3736,3736,1109,0,4112,5447,-1420,4027,2636,17858,2431,6671,11187,-1377,-3446,4027,1109,-1377,-1377,0,0,15299
MS UN Equity,144318.4423,61120,55443,,,,16179,,,4028,25884,,,9616,0,16179,3550,12019,12123,359298,9828,397744,7948,-2958,4990,,1160029,,1057940,102089,-27836,7721,4990,111696,-27836,-27836,8750,1078,499833
MSCI UN Equity,37152.56134,2222.232,2222.232,397.86,1824.372,1042.755,1179.477,1179.477,155.535,116.652,1326.529,1309.309,166.297,5.528,-5.234,826.111,174.475,849.467,849.467,867.112,0,4672.403,1059.606,-14.402,1045.204,1526.908,4777.527,1067.252,5854.918,-1077.391,-102.247,-1374.911,568.135,867.112,-102.247,-102.247,0,0,3595.012
MSFT UW Equity,1704092.606,203075,203075,64456,138619,,84663,84663,-101,14038,101236,98701,2024,,158,84764,14975,69789,69789,107262,0,77136,87693,-24359,63334,160812,359784,87389,186218,173566,-30193,-53781,63334,22884,-30193,-30193,0,0,250702
MSI UN Equity,42837.46419,8725,8725,4664,4061,,1519,2217,149,444,2084,2658,234,8,-76,1930,191,1175,1176,822,14,6392,1253,-251,1002,4707,11625,3768,12019,-394,-952,-1132,1100,822,-952,-952,0,14,5998
MTB UN Equity,29411.58741,7387.132,7207.57,,,,2200.43,,,314.757,,,,4768.438,0,2203.168,516.17,1586.545,1636.39,27647.338,2010.6,4377.142,4317.049,-188.858,4128.191,,197955.479,,172698.986,25256.493,16804.45,-20345.401,4128.191,2255.81,16804.45,16804.45,2010.6,0,29633.635
MTCH UW Equity,12334.1576,3208.76,3209.129,958.581,2250.179,2568.471,640.289,1009.812,557.636,308.32,948.609,1208.417,141.919,2.1,417.817,82.653,-25.131,108.739,108.306,398.319,0.874,3878.398,546.025,-65.533,480.492,705.547,3914.549,601.736,4613.017,-698.468,-85.221,-581.494,480.964,390.641,-85.221,-85.221,0,0.874,3179.93
MTD UN Equity,30121.00873,3899.263,3899.263,1616.228,2283.035,,1075.966,1152.92,44.412,113.174,1189.14,1216.067,50.128,0,-5.716,980.681,194.015,837.539,837.539,122.136,0,1978.892,796.53,-126.997,669.533,1315.902,3294.46,1164.937,3377.269,-82.809,-152.241,-705.825,715.06,122.136,-152.241,-152.241,0,0,1896.083
MU UW Equity,62338.24677,30758,30758,16860,13898,,9702,10281,131,7116,16943,17397,220,96,7,8814,888,8687,8687,10978,0,7516,15181,-12067,3114,21781,66283,7539,16376,49907,-11585,-3086,3205,8262,-11585,-11585,0,0,57423
NCLH UN Equity,7252.226495,3812.068,3812.068,,,,,-1830.631,,,,-1100.439,,,-167.061,-2557.318,-4.861,-3360.15,-3360.15,,0,13151.685,,,,3301.568,18729.837,3730.432,16297.187,,,,,1186.714,,,0,0,
NDAQ UW Equity,31854.56267,3560,3560,,,2001,1559,1868,92,276,1910,2048,127,2,-47,1681,324,1144,1144,430,9,5882,1596,-168,1428,10851,22941,11335,17057,5884,-238,4347,920,301,-238,-238,0,9,11766
NDSN UW Equity,12878.69981,2505.944,2505.944,1111.441,1394.503,1561.661,676.186,677.749,64.338,100.892,777.078,782.036,21.2,1.456,44.594,611.848,129.534,482.314,482.314,128.737,0,926.897,510.162,-49.603,460.559,1115.606,3823.824,827.282,1624.779,2199.045,-220.743,-334.917,460.559,128.737,-220.743,-220.743,0,0,3125.942
NEE UN Equity,156012.2226,19838,19838,6022,13816,16448,3390,5955,-65,4595,7985,9270,,0,-794,6305,523,3829,3829,2508,8117,64825,8584,-18296,-9712,12891,156409,27793,109663,46746,-15595,9974,-9712,2508,-15595,-15595,0,8117,111571
NEM UN Equity,34789.57003,12105,12105,6228,5877,11097,1008,2691,183,2253,3261,4988,240,0,-75,1512,643,1002,986,3813,181,6127,3509,-1926,1583,6320,39143,2324,17743,21400,-2608,-2506,1561,3058,-2608,-2608,0,181,27527
NFLX UW Equity,117000.3397,31472.815,31474.459,19003.7,12469.115,,5714.697,5759.679,-60.749,307.279,6021.976,6295.184,725.038,0,-785.787,5925.446,731.377,5044.069,5162.569,6113.733,0,16432.181,1179.125,-462.115,717.01,8816.903,47562.187,7765.924,27034.046,20528.141,-1443.861,-1147.918,717.01,6113.733,-1443.861,-1443.861,0,0,36960.322
NI UN Equity,10196.00247,5554.6,5551.3,1900.1,3654.5,4369.9,1184.7,1098.5,,792.8,1977.5,1723.3,347.4,,,784.7,147.1,670.4,695.7,,1815.5,9836.1,,,,1920.8,24156.9,2746.2,16884,,,,,35.8,,,1546.5,311.8,
NKE UN Equity,147102.835,47149,47149,25751,21398,,6246,6396,-127,709,6955,,198,37,-288,6523,733,5640,5640,11876,0,12591,4434,-838,3596,28877,41088,10919,25266,15822,-2239,-5689,3596,7226,-2239,-2239,0,0,28413
NLOK UW Equity,,2817,2818,408,2409,1430,979,1506,-40,133,1122,1639,125,2,-163,1095,164,855,855,1291,0,3416,931,-7,924,1629,6247,2624,6546,-299,331,-1201,924,1291,331,331,0,0,3117
NOC UN Equity,83074.0862,35208,35208,28007,7201,,3437,6375,-3292,1291,4728,4728,519,,-3811,9925,1203,5526,6563,1666,0,13499,2092,-1536,556,12298,42733,10812,28790,13943,-1404,-3077,656,1666,-1404,-1404,0,0,27442
NOW UN Equity,74933.91827,6919,6919,1533,5386,5151,235,1683,-13,441,787,2124,27,48,21,1678,47,201,201,3956,0,2125,2405,-506,1899,5476,11106,4432,6583,4523,-2068,-489,847,1248,-2068,-2068,0,0,6648
NRG UN Equity,10263.61616,30734,27767,25588,5146,36323,2856,1585,396,872,3728,1752,425,0,-35,866,571,1889,1889,333,0,8315,396,-300,96,18963,32243,14366,27113,5130,341,755,96,333,341,341,0,0,13445
NSC UN Equity,54387.31849,12360,12395,,,7603,4757,4786,680,1210,5967,5996,680,0,0,4077,837,3240,3240,1214,0,15068,4366,-1727,2639,2715,39306,2798,26282,13024,-1435,-3182,2639,1214,-1435,-1435,0,0,28092
NTAP UW Equity,15130.82686,6452,6452,2185,4267,3104,1163,1520,35,206,1461,1726,73,15,-23,1453,179,949,949,3439,0,2965,1250,-240,1010,4922,9544,3575,8887,779,-1135,-1320,1010,3288,-1135,-1135,0,0,3744
NTRS UW Equity,17896.65441,7265.7,6949.3,,,,2085.5,,,538.2,,,,1267.9,0,2085.5,498.8,1532.4,1554.9,46876.3,0.125,8701.9,282.3,-667.3,-385,,159839.6,,148809.2,11030.4,2982.5,-2966.7,-385,4492.8,2982.5,2982.5,0.125,0,19732.3
NUE UN Equity,35482.39529,43152.923,43152.923,29223.929,13928.994,31433.727,11841.378,11900.403,122.182,1015.701,12857.079,12557.428,,,0,11719.196,2625.669,8583.563,8602.022,3427.29,1116.222,6710.673,10148.934,-1845.026,8303.908,14356.457,32072.704,4632.089,13248.025,18824.679,-5484.536,-3580.292,8303.908,3049.864,-5484.536,-5484.536,0,1116.222,25535.352
NVDA UW Equity,361896.5909,29738,29734,11762,17976,9968,8008,12343,225,1319,9505,13662,256,80,49,12178,42,7741,7741,17037,0,11837,7552,-1289,6263,27418,43476,7573,19625,23851,-1796,-8372,6187,3013,-1796,-1796,0,0,35688
NVR UN Equity,13218.50853,10044.593,9926.53,7314.599,2729.994,,2140.678,2019.118,35.401,17.98,2255.433,,45.832,10.431,0,2105.277,499.889,1605.388,1605.388,1766.937,0,1005.421,1313.007,-17.901,1295.106,4336.021,5389.534,997.784,2304.695,3084.839,-26.834,-2212.878,1295.106,1766.937,-26.834,-26.834,0,0,4090.26
NWL UW Equity,5325.1,9979,9979,6926,3053,,737,1106,122,303,1040,1409,,,-108,848,50,565,565,636,0,6481,-173,-329,-502,5148,14678,4108,10902,3776,332,-15,-502,636,332,332,0,0,10257
NWS UW Equity,9965.104796,10385,10100,5124,5261,,872,1026,60,688,1721,1714,,,-52,812,52,623,623,1822,921,4155,1354,-499,855,4093,17221,3519,8078,9143,-2076,308,663,1822,-2076,-2076,0,921,13298
NWSA UW Equity,9963.176394,10385,10100,5124,5261,,872,1026,60,688,1721,1714,,,-52,812,52,623,623,1822,921,4155,1354,-499,855,4093,17221,3519,8078,9143,-2076,308,663,1822,-2076,-2076,0,921,13298
NXPI UW Equity,42124.96253,12932,12932,5599,7333,3713,3624,4643,454,1258,4882,5299,437,24,36,3982,464,2667,2679,3759,279,11162,3604,-1115,2489,6703,22940,3219,15555,7385,-1293,-855,2510,3759,-1293,-1293,0,279,18547
O UN Equity,39811.72681,3140.05,3140.05,,,,1067.504,1148.061,373.027,1565.444,2632.948,2712.994,434.672,0,-60.691,702.295,45.93,646.184,646.184,187.745,127.138,16823.439,2285.489,-7657.309,-5371.82,,45892.475,,19028.218,26864.257,-7363.882,4821.208,-5371.82,187.745,-9973.108,-9973.108,0,127.138,43687.696
ODFL UW Equity,31939.1317,6178.776,6178.776,3982.335,2196.441,4395.882,1782.894,1782.894,1.771,270.802,2053.696,2053.68,1.667,2.059,2.163,1781.123,449.087,1332.036,1332.036,375.556,0,99.959,1670.225,-670.171,1000.054,1111.197,4811.393,639.327,1253.223,3558.17,-582.941,-1210.318,1000.054,216.727,-582.941,-582.941,0,0,3658.129
OGN UN Equity,5982.651016,6293,6293,2299,3994,,1639,2032,392,222,1861,2254,401,,-7,1648,236,1011,1011,737,0,9364,,,,3760,10681,2597,12189,-1508,,,,737,,,0,0,7856
OKE UN Equity,27956.96248,22775.352,22419.451,20081.175,2694.177,,2702.774,2744.107,570.433,621.835,3324.609,3498.865,688.139,0,30.247,,515.668,1615.573,1616.496,22.215,0,13859.03,2920.616,-1092.566,1828.05,2765.322,24439.243,4138.638,18126.974,6312.269,-1053.721,-2069.017,1828.05,22.215,-1053.721,-1053.721,0,0,20171.299
OMC UN Equity,15116.30201,14276.8,14276.8,,,12213.7,2063.1,2176.5,156.4,219,2282.1,2282.1,205.8,49.4,0,1906.7,516.9,1301.6,1302.9,3293.4,896.2,6378,1456.2,-688.8,767.4,12030.1,24132.2,12705.4,20489.3,3642.9,-1164.2,-1524.7,1768.1,3198.5,-1164.2,-1164.2,0,896.2,10020.9
ON UW Equity,28920.48737,8068.7,8068.7,4179.8,3888.9,1752.9,2136,2683.1,70.9,558.9,2730.2,3242,99.4,6.7,-21.8,2605.1,339.2,1723.8,1723.8,2450.2,20.6,3480.1,2528.4,-912.2,1616.2,5309.4,11100.7,1761,5424.1,5676.6,-1151.2,-295.4,1188.3,2450.2,-1151.2,-1151.2,0,20.6,9156.7
ORCL UN Equity,204126.7492,44158,44158,9810,34348,34034,10124,19736,3500,3831,13955,21950,2837,113,540,20220,815,5809,5809,11220,426,91577,10543,-5168,5375,21004,130309,34819,135758,-5449,-17435,-5788,-2162,10448,-17435,-17435,0,426,86128
ORLY UW Equity,52331.51398,14056.86,14056.86,6794.572,7262.288,4314.133,2948.155,2948.155,151.523,348.611,3563.244,3296.769,150.121,3.12,4.522,2796.632,633.581,2163.051,2163.051,67.06,0,6540.542,2995.003,-490.986,2504.017,4760.756,12238.028,6841.479,13443.491,-1205.463,-661.585,-2715.66,2299.671,67.06,-661.585,-661.585,0,0,5335.079
OTIS UN Equity,30498.26632,13815,13815,9816,3999,,2038,2146,158,196,2234,2494,,,7,2007,519,1237,1263,1034,180,6887,1373,-122,1251,5829,9342,5992,14075,-4733,42,-1946,453,1034,42,42,0,180,2154
OXY UN Equity,69545.19217,33730,33730,19803,13927,,11579,11824,263,7253,18832,19543,1301,0,-317,11444,294,10191,10398,1362,10500,23066,14778,-3423,11355,10408,74221,9730,46391,27830,-2172,-15971,11355,1362,-2172,-2172,10500,0,50896
PARA UW Equity,10888.72242,30023,30023,19814,10209,27482,4824,2885,1095,383,5207,3313,942,89,242,1790,598,3141,3141,3383,492,17302,-373,-351,-724,13524,57287,10326,34148,23139,2028,-3098,-716,3383,2028,2028,0,492,40441
PAYC UN Equity,18125.55065,1289.596,1289.596,200.193,1089.403,948.125,341.471,412.286,-4.12,86.751,428.222,525.346,1.587,0,-5.707,437.008,95.466,250.125,250.125,317.163,0,29,326.372,-126.015,200.357,2228.362,3314.57,1897.755,2238.19,1076.38,-225.72,-1317.146,200.357,317.163,-225.72,-225.72,0,0,1105.38
PAYX UW Equity,42087.58198,4735,4735,1394.8,3340.2,2842.3,1892.7,1892.8,20,190.1,2082.8,2091.1,36.5,8.1,-8.4,1872.7,434.3,1438.4,1438.4,1230,0,879.1,1484.2,-132.8,1351.4,6085.4,9125.9,4702.2,5988.5,3137.4,-175.5,-1577.3,1311.6,1184.2,-175.5,-175.5,0,0,4016.5
PCAR UW Equity,34846.30995,27376.3,25875.3,22540.4,4835.9,,3175.5,,-148.7,312.2,3487.7,,,3.8,-116.6,3324.2,722.5,2601.7,2601.7,4867.7,-10273.1,10377.9,2814.7,-1542.8,1271.9,9988,30623.6,8470.1,17730.1,12893.5,-1655.8,-63.2,1271.9,3323.5,-1655.8,-1655.8,0,0,23271.4
PCG UN Equity,29755.8708,21556,21556,4632,16924,19208,2348,,1362,3778,6126,,1751,73,-316,,-787,1759,1926,262,107,52003,2921,-9639,-6718,12210,117012,14027,94526,22486,-10545,7600,-6718,262,-10545,-10545,252,0,74489
PEAK UN Equity,13011.15914,2019.915,2019.915,,,,344.999,,-181.923,728.468,1073.467,,160.082,0,-338.281,523.198,-5.632,519.553,519.834,112.452,659.388,6791.784,917.219,-1575.071,-657.852,,15661.956,,8535.607,7126.349,-1250.756,233.855,-657.852,112.452,-1250.756,-1250.756,0,659.388,13918.133
PEG UN Equity,28799.37983,9717,9717,4026,5691,8398,1319,2937,689,1277,2596,3897,584,,105,2248,-58,688,688,377,0,20084,1259,-2761,-1502,4105,47741,6806,34490,13251,-960,-1741,-1502,377,-960,-960,0,0,33335
PEP UW Equity,248345.8544,83644,83644,39286,44358,,13259,12135,1472,2701,15960,13904,1798,0,-326,10125,2003,9714,9714,6742,158,39245,11288,-4905,6383,23543,94461,25653,75326,19135,-1930,-9447,6737,6415,-1930,-1930,0,158,58380
PFE UN Equity,266193.848,99879,99879,34431,65448,,33554,41377,228,,,,1241,128,-885,35626,3347,29771,29771,31069,262,41395,30055,,,59693,181476,42672,104014,77462,,,,1944,,,0,262,118857
PFG UW Equity,22214.75073,18460.7,13966.5,,,11796.5,6835.3,,,,,,171.1,,0,2186,1322.3,5292.9,5292.9,4239.6,297.2,4047.5,3121.5,-107.3,3014.2,,282580.6,,272837.2,9743.4,-2300.8,273.5,3014.2,4239.6,9015.4,9015.4,0,297.2,13790.9
PG UN Equity,324411.4859,80461,80461,42638,37823,,17729,17729,-228,2759,20488,20476,453,82,-599,17957,3327,14360,14569,6710,1093,33003,16150,-2955,13195,22521,116282,36618,71948,44334,-4250,-15560,13420,6710,-4250,-4250,834,259,77337
