indx_members,cur_mkt_cap,cash_and_marketable_securities,preferred_equity_and_minority_int,short_and_long_term_debt,sales_rev_turn,gross_profit,ebitda,earn_for_common,cf_cash_from_oper,capital_expend,cf_free_cash_flow,is_oper_inc,bs_cur_asset_report,bs_tot_asset,bs_cur_liab,bs_tot_liab2,total_equity,cf_cash_from_inv_act,cf_cash_from_fnc_act,is_comp_sales,headline_fcf,bs_cash_near_cash_item,is_cogs_to_fe_and_pp_and_g,is_tot_oper_exp,is_comparable_ebit,is_non_operating_inc_loss_gaap,cf_depr_amort,is_comparable_ebitda,is_int_expense,is_int_inc,is_other_nonop_inc_loss_gaap,is_comp_ptp_ex_stk_based_comp,is_inc_tax_exp,is_comp_net_income_gaap,cb_cf_net_cash_investing_act,cb_cf_net_cash_financing_act
BRK/B UN,696003.5906,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BRO UN,16421.23271,590.7,0,4346,3410.5,#VALUE!,1162.494,623.9,914.426,-45.028,869.398,934.6,4850.8,13658.3,4238.6,9347.7,4310.6,-2102.9,1613.439,3410.5,869.398,579.5,#VALUE!,2587.9,905.8,112,175.383,1103.1,112,0.4,0.4,822.6,194.3,628.3,-2102.9,1797.841
BSX UN,62276.89389,338,0,8934,12567,8650,2559,596,1197,-642,555,1427,5144,31947,3549,14307,17640,-2289,-571,12567,555,338,3917,7223,3228,561,1132,#VALUE!,493,7,35,2838,214,611,-2289,-557
BWA UN,9923.443804,1322,262,4136.000001,15348,2893,1921,818,1221,-700,521,1191,6547,16077,3816,9040,7037,-843,-647,15348,537,1241,12455,#VALUE!,1474,37,730,1969,63,3,14,1188.15,253,818,-843,-557
BXP UN,10996.34329,375.774,2208.776,13345.591,3049.82,#VALUE!,#VALUE!,911.55,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,22365.258,#VALUE!,14322.462,8042.796,#VALUE!,#VALUE!,3049.82,#VALUE!,375.774,#VALUE!,#VALUE!,1050.67,#VALUE!,728.966,1779.636,420.547,#VALUE!,#VALUE!,#VALUE!,#VALUE!,911.55,#VALUE!,#VALUE!
C UN,95370.63827,648821,19552,718706,89660,#VALUE!,42010,14374,57079,-7786,49293,19581,#VALUE!,2381064,#VALUE!,2181947,199117,-151727,84640,74349,49293,26502,#VALUE!,51839,#VALUE!,#VALUE!,7118,#VALUE!,#VALUE!,58321,0,19581,3773,15505,-151727,88840
CAG UN,17555.11142,67.4,72.4,9042.2,11786.9,2885.7,1333.3,575.3,1301.2,-434.9,866.3,961.4,3233.8,22219.5,4160.3,13642.8,8576.7,-403.4,-898.4,11786.9,866.3,67.4,8901.2,#VALUE!,1679.9,325.5,371.9,2331.2,400.5,17.7,-57.3,1354.6,235.2,575.7,-403.4,-897.9
CAH UN,20700.72649,3492,1,5267,186999,6517,-179,-1094,3791,-390,3401,-874,32696,43387,31559,45167,-1780,-365,-2397,186999,3401,3492,180482,#VALUE!,1885,154,695,2490,#VALUE!,#VALUE!,20,1880,65,-1094,-365,-2362
CARR UN,36695.15617,2985,311,9403,20449,5583,4619,3588,1533,-351,1182,4275,9740,25350,6013,17887,7463,1779,-3097,20449,2087,2985,14866,#VALUE!,2885,-45,344,3229,298,65,-8,2578,682,3588,1779,-2921
CAT UN,123092.4241,6346,-25917,36525,56628,16409,10082,7371,6439,-2676,3763,7835,42577,80907,30202,65285,15622,-2690,-6843,53800,3763,6346,40219,48793,7891,-1380,2247,11220,438,114,-1567,9228,1852,7371,-2690,-6744
